"","Cost","Specificity","Recall","Precision","F1","Accuracy"
"1","Full Tree",0.796954314720812,0.966323666978485,0.813471502590674,0.962721342031687,0.813471502590674
"2","Pruned Tree",0.621827411167513,0.961178671655753,0.746951219512195,0.932395644283122,0.746951219512195
"3","Prior Tree",0.987309644670051,0.649204864359214,0.341527655838455,0.996410624551328,0.341527655838455
"4","1.3",0.958372310570627,0.8248730964467,0.785024154589372,0.804455445544555,0
"5","2",0.925163704396632,0.868020304568528,0.681274900398406,0.763392857142857,0
"6","2.7",0.91066417212348,0.880710659898477,0.644981412639405,0.744635193133047,0
"7","3.8",0.890551917680075,0.908629441624365,0.60472972972973,0.726166328600406,0
